id_municipio,regiao,total_estabelecimentos,estabelecimentos_com_orientacao,prop_orientacao,alta_assistencia,produtividade_agropecuaria,valor_producao_agropecuaria,area_estabelecimentos_ha,area_media_estab,temperatura_media,temperatura_maxima,dias_quentes,precipitacao_anual,precipitacao_extrema,dias_secos,carbono_solo,teor_argila,teor_areia,pib_total,pib_agropecuaria,pib_industria,pib_servicos,populacao_total,area_municipio,pib_percapita,densidade_demografica,valor_pronaf,contratos_pronaf
4206405,Sul,1146,586,0.5113438045375218,1,6.842974905164867,187607.0,27416.0,23.923211169284468,20.30182647705078,27.13635635375977,17.8172607421875,1719.112548828125,126.55335998535156,18.24578285217285,57.040992736816406,46.58047866821289,15.69940948486328,287359.0,83326.0,39659.0,95837.0,10259,332.36319765763653,28.01042986645872,30.866835053644166,45989508.95,1522
4206504,Sul,394,182,0.4619289340101523,1,3.369942601147977,48143.0,14286.0,36.25888324873097,20.894193649291992,27.83232879638672,33.321048736572266,1694.1307373046875,141.08404541015625,15.56725025177002,61.08818817138672,34.622352600097656,35.67967987060547,1541865.0,63025.0,460405.0,609657.0,42872,268.00092865166664,35.96438234745288,159.969594940183,4449447.92,112
4206603,Sul,353,196,0.5552407932011332,1,4.376910390324354,39808.0,9095.0,25.76487252124646,20.158302307128903,26.85167121887207,18.239404678344727,1657.6414794921875,125.8491668701172,18.239404678344727,59.13971328735352,50.95723342895508,13.565982818603516,150699.0,19227.0,36110.0,52273.0,5139,100.81446318202435,29.324576765907764,50.97482878742645,8521345.25,270
4206652,Sul,582,247,0.42439862542955326,1,11.79891639805226,172040.0,14581.0,25.053264604810998,20.342971801757812,26.87059593200684,19.88772201538086,1890.2840576171875,177.30715942382812,19.0,56.216102600097656,44.61622619628906,16.065244674682617,244350.0,59545.0,83094.0,46606.0,4733,206.54608187060424,51.62687513205155,22.91498321892691,6050660.72,200
4206702,Sul,531,393,0.7401129943502824,1,3.288804491413474,39834.0,12112.0,22.80979284369115,18.70330619812012,25.362499237060547,21.70422744750977,1788.3330078125,162.6378173828125,20.0,71.38410186767578,47.82855224609375,12.563240051269531,430260.0,25429.0,89236.0,180092.0,22443,216.94268861310175,19.17123379227376,103.4512854223224,10749859.95,391
4206751,Sul,391,223,0.5703324808184144,1,3.2440216813689022,30523.0,9409.0,24.06393861892583,18.20563697814941,24.931501388549805,21.032337188720703,1837.2005615234373,161.28746032714844,20.113182067871094,80.25475311279297,53.335968017578125,10.993497848510742,47326.0,16301.0,7425.0,7874.0,1967,146.25458182477516,24.059989832231825,13.449151304925444,6964847.85,212
4206801,Sul,566,252,0.4452296819787986,1,3.3732507640341,41943.0,12434.0,21.968197879858657,17.9440975189209,24.709924697875977,22.215023040771484,1784.609130859375,147.35923767089844,20.0,67.13519287109375,46.26473617553711,13.137110710144045,96940.0,36435.0,7138.0,28872.0,3268,156.70693481981553,29.663402692778455,20.854214293436375,9633950.09,318
4206900,Sul,596,254,0.4261744966442953,1,1.0723858765902443,15763.0,14699.0,24.66275167785235,18.786609649658203,25.99064445495605,26.977413177490234,1760.676513671875,155.02220153808594,27.0,55.28759765625,33.93140411376953,31.95745849609375,421610.0,22345.0,94320.0,181227.0,18721,247.526157359829,22.520698680626037,75.63241073057691,1548077.68,87
4207007,Sul,1040,524,0.5038461538461538,1,6.124178759656343,84826.0,13851.0,13.31826923076923,20.868932723999023,28.2051944732666,37.0,1562.46435546875,201.40695190429688,16.0,53.86570358276367,25.566221237182617,46.72346496582031,2102972.0,77978.0,564370.0,908305.0,54845,230.7115682412401,38.34391466861154,237.72106625642692,8650060.54,347
4207106,Sul,356,66,0.1853932584269663,0,2.38620254052916,34001.0,14249.0,40.0252808988764,21.14059829711914,27.7531681060791,33.16632461547852,1647.756591796875,131.49356079101565,18.855228424072266,59.19765090942383,33.13877487182617,36.22259521484375,683687.0,30822.0,153320.0,260221.0,13857,253.4660357301479,49.33874576026557,54.6700466596354,3578630.66,84
4207205,Sul,1135,219,0.19295154185022026,0,2.066764900157512,40676.0,19681.0,17.34008810572687,21.016576766967773,28.232315063476562,30.020971298217773,1605.5150146484375,137.03663635253906,24.737537384033203,52.896183013916016,28.32884407043457,36.36621856689453,181532.0,58299.0,14823.0,57191.0,10571,543.0432856616627,17.172642134140574,19.466219874387967,2667719.72,126
4207304,Sul,317,56,0.17665615141955837,0,4.109340252038547,22174.0,5396.0,17.022082018927446,21.00312042236328,27.990732192993164,31.28133201599121,1648.2025146484375,138.6470947265625,24.201675415039062,47.50229263305664,21.228126525878903,39.17035675048828,1548283.0,35707.0,181835.0,902997.0,44076,181.8476138957068,35.12757509755876,242.37876459175567,467414.21,26
4207403,Sul,765,649,0.8483660130718954,1,7.273465246067985,71680.0,9855.0,12.882352941176471,17.826702117919922,25.1225700378418,24.4809684753418,1533.2978515625,107.04804229736328,20.31660270690918,67.07052612304688,47.123191833496094,16.313705444335938,123586.0,33655.0,7013.0,47225.0,6133,119.3070194450631,20.1509864666558,51.40518997563292,39373678.96,1168
4207502,Sul,717,278,0.3877266387726639,1,1.640192280097575,22861.0,13938.0,19.439330543933053,19.54431915283203,26.471607208251957,28.731603622436523,1818.7379150390625,145.03916931152344,14.999999046325684,54.636714935302734,35.17435836791992,37.23064041137695,2500546.0,17018.0,883629.0,935601.0,66497,431.5402065372186,37.60389190489797,154.0922467771607,590582.97,33
4207577,Sul,315,192,0.6095238095238096,1,13.907711470954592,122819.0,8831.0,28.034920634920635,17.858192443847656,24.72835731506348,22.0,1696.22705078125,137.11260986328125,20.0,75.4945297241211,54.370365142822266,9.944519996643066,127194.0,49500.0,26980.0,22615.0,2917,114.18239075167676,43.60438806993486,25.54684641648357,5365382.23,161
4207601,Sul,594,359,0.6043771043771043,1,2.6465168003812853,33317.0,12589.0,21.193602693602692,19.468929290771484,25.91981315612793,19.497976303100582,1763.3814697265625,174.7507781982422,23.452289581298828,59.55073547363281,39.85151672363281,16.979963302612305,84447.0,25882.0,6503.0,24180.0,4562,155.90819629255128,18.51096010521701,29.26080929985049,6849696.62,350
4207650,Sul,882,663,0.7517006802721088,1,7.5044762464876165,114841.0,15303.0,17.35034013605442,21.182031631469727,28.53472328186035,17.0,1774.2763671875,138.427734375,18.0,56.570987701416016,41.25090789794922,19.25758552551269,256043.0,90332.0,19455.0,90433.0,8930,201.3057204773393,28.672228443449047,44.36038866071488,22490353.22,675
4207684,Sul,590,352,0.5966101694915255,1,4.332016269610691,74554.0,17210.0,29.16949152542373,19.796329498291016,26.052810668945316,20.999998092651367,1857.4571533203125,172.3655242919922,26.999998092651367,59.03794860839844,52.18984222412109,12.05930233001709,223156.0,50118.0,74517.0,48365.0,7400,261.54570597346327,30.15621621621621,28.293333941222546,7001170.1,231
4207700,Sul,872,586,0.6720183486238532,1,3.964704655648819,76047.0,19181.0,21.996559633027523,19.198320388793945,25.603073120117188,22.29485511779785,1952.330322265625,172.18141174316406,26.530202865600582,68.52008819580078,50.541141510009766,12.124622344970703,313269.0,63005.0,97815.0,84575.0,7561,246.342464966256,41.43221796058722,30.693043527983317,10054944.15,462
